forecast_date,target,target_end_date,location,type,quantile,value
2021-05-24,1 wk ahead inc case,2021-05-29,AT,point,NA,3309
2021-05-24,2 wk ahead inc case,2021-06-05,AT,point,NA,2571
2021-05-24,3 wk ahead inc case,2021-06-12,AT,point,NA,2113
2021-05-24,4 wk ahead inc case,2021-06-19,AT,point,NA,1793
2021-05-24,1 wk ahead inc case,2021-05-29,BE,point,NA,14625
2021-05-24,2 wk ahead inc case,2021-06-05,BE,point,NA,13425
2021-05-24,3 wk ahead inc case,2021-06-12,BE,point,NA,12647
2021-05-24,4 wk ahead inc case,2021-06-19,BE,point,NA,11982
2021-05-24,1 wk ahead inc case,2021-05-29,BG,point,NA,1463
2021-05-24,2 wk ahead inc case,2021-06-05,BG,point,NA,938
2021-05-24,3 wk ahead inc case,2021-06-12,BG,point,NA,654
2021-05-24,4 wk ahead inc case,2021-06-19,BG,point,NA,515
2021-05-24,1 wk ahead inc case,2021-05-29,CY,point,NA,405
2021-05-24,2 wk ahead inc case,2021-06-05,CY,point,NA,142
2021-05-24,3 wk ahead inc case,2021-06-12,CY,point,NA,42
2021-05-24,4 wk ahead inc case,2021-06-19,CY,point,NA,11
2021-05-24,1 wk ahead inc case,2021-05-29,CZ,point,NA,3518
2021-05-24,2 wk ahead inc case,2021-06-05,CZ,point,NA,2477
2021-05-24,3 wk ahead inc case,2021-06-12,CZ,point,NA,1781
2021-05-24,4 wk ahead inc case,2021-06-19,CZ,point,NA,1332
2021-05-24,1 wk ahead inc case,2021-05-29,DE,point,NA,47004
2021-05-24,2 wk ahead inc case,2021-06-05,DE,point,NA,40292
2021-05-24,3 wk ahead inc case,2021-06-12,DE,point,NA,35636
2021-05-24,4 wk ahead inc case,2021-06-19,DE,point,NA,32325
2021-05-24,1 wk ahead inc case,2021-05-29,DK,point,NA,7705
2021-05-24,2 wk ahead inc case,2021-06-05,DK,point,NA,7679
2021-05-24,3 wk ahead inc case,2021-06-12,DK,point,NA,7468
2021-05-24,4 wk ahead inc case,2021-06-19,DK,point,NA,7201
2021-05-24,1 wk ahead inc case,2021-05-29,EE,point,NA,1269
2021-05-24,2 wk ahead inc case,2021-06-05,EE,point,NA,1072
2021-05-24,3 wk ahead inc case,2021-06-12,EE,point,NA,956
2021-05-24,4 wk ahead inc case,2021-06-19,EE,point,NA,904
2021-05-24,1 wk ahead inc case,2021-05-29,ES,point,NA,24774
2021-05-24,2 wk ahead inc case,2021-06-05,ES,point,NA,19824
2021-05-24,3 wk ahead inc case,2021-06-12,ES,point,NA,15844
2021-05-24,4 wk ahead inc case,2021-06-19,ES,point,NA,12720
2021-05-24,1 wk ahead inc case,2021-05-29,FI,point,NA,1329
2021-05-24,2 wk ahead inc case,2021-06-05,FI,point,NA,1385
2021-05-24,3 wk ahead inc case,2021-06-12,FI,point,NA,1383
2021-05-24,4 wk ahead inc case,2021-06-19,FI,point,NA,1393
2021-05-24,1 wk ahead inc case,2021-05-29,FR,point,NA,33164
2021-05-24,2 wk ahead inc case,2021-06-05,FR,point,NA,30741
2021-05-24,3 wk ahead inc case,2021-06-12,FR,point,NA,20409
2021-05-24,4 wk ahead inc case,2021-06-19,FR,point,NA,12701
2021-05-24,1 wk ahead inc case,2021-05-29,GB,point,NA,13798
2021-05-24,2 wk ahead inc case,2021-06-05,GB,point,NA,13627
2021-05-24,3 wk ahead inc case,2021-06-12,GB,point,NA,13444
2021-05-24,4 wk ahead inc case,2021-06-19,GB,point,NA,13320
2021-05-24,1 wk ahead inc case,2021-05-29,GR,point,NA,12401
2021-05-24,2 wk ahead inc case,2021-06-05,GR,point,NA,11786
2021-05-24,3 wk ahead inc case,2021-06-12,GR,point,NA,11267
2021-05-24,4 wk ahead inc case,2021-06-19,GR,point,NA,10695
2021-05-24,1 wk ahead inc case,2021-05-29,HR,point,NA,2452
2021-05-24,2 wk ahead inc case,2021-06-05,HR,point,NA,1494
2021-05-24,3 wk ahead inc case,2021-06-12,HR,point,NA,930
2021-05-24,4 wk ahead inc case,2021-06-19,HR,point,NA,710
2021-05-24,1 wk ahead inc case,2021-05-29,HU,point,NA,2780
2021-05-24,2 wk ahead inc case,2021-06-05,HU,point,NA,1908
2021-05-24,3 wk ahead inc case,2021-06-12,HU,point,NA,1412
2021-05-24,4 wk ahead inc case,2021-06-19,HU,point,NA,1188
2021-05-24,1 wk ahead inc case,2021-05-29,IS,point,NA,10
2021-05-24,2 wk ahead inc case,2021-06-05,IS,point,NA,7
2021-05-24,3 wk ahead inc case,2021-06-12,IS,point,NA,6
2021-05-24,4 wk ahead inc case,2021-06-19,IS,point,NA,5
2021-05-24,1 wk ahead inc case,2021-05-29,IT,point,NA,24515
2021-05-24,2 wk ahead inc case,2021-06-05,IT,point,NA,16539
2021-05-24,3 wk ahead inc case,2021-06-12,IT,point,NA,12084
2021-05-24,4 wk ahead inc case,2021-06-19,IT,point,NA,9960
2021-05-24,1 wk ahead inc case,2021-05-29,LI,point,NA,10
2021-05-24,2 wk ahead inc case,2021-06-05,LI,point,NA,8
2021-05-24,3 wk ahead inc case,2021-06-12,LI,point,NA,8
2021-05-24,4 wk ahead inc case,2021-06-19,LI,point,NA,7
2021-05-24,1 wk ahead inc case,2021-05-29,LT,point,NA,5844
2021-05-24,2 wk ahead inc case,2021-06-05,LT,point,NA,5524
2021-05-24,3 wk ahead inc case,2021-06-12,LT,point,NA,5324
2021-05-24,4 wk ahead inc case,2021-06-19,LT,point,NA,5036
2021-05-24,1 wk ahead inc case,2021-05-29,LU,point,NA,563
2021-05-24,2 wk ahead inc case,2021-06-05,LU,point,NA,479
2021-05-24,3 wk ahead inc case,2021-06-12,LU,point,NA,411
2021-05-24,4 wk ahead inc case,2021-06-19,LU,point,NA,355
2021-05-24,1 wk ahead inc case,2021-05-29,MT,point,NA,20
2021-05-24,2 wk ahead inc case,2021-06-05,MT,point,NA,13
2021-05-24,3 wk ahead inc case,2021-06-12,MT,point,NA,11
2021-05-24,4 wk ahead inc case,2021-06-19,MT,point,NA,11
2021-05-24,1 wk ahead inc case,2021-05-29,NL,point,NA,22166
2021-05-24,2 wk ahead inc case,2021-06-05,NL,point,NA,17414
2021-05-24,3 wk ahead inc case,2021-06-12,NL,point,NA,14180
2021-05-24,4 wk ahead inc case,2021-06-19,NL,point,NA,12004
2021-05-24,1 wk ahead inc case,2021-05-29,PL,point,NA,7270
2021-05-24,2 wk ahead inc case,2021-06-05,PL,point,NA,4457
2021-05-24,3 wk ahead inc case,2021-06-12,PL,point,NA,3120
2021-05-24,4 wk ahead inc case,2021-06-19,PL,point,NA,2547
2021-05-24,1 wk ahead inc case,2021-05-29,PT,point,NA,2866
2021-05-24,2 wk ahead inc case,2021-06-05,PT,point,NA,3020
2021-05-24,3 wk ahead inc case,2021-06-12,PT,point,NA,3174
2021-05-24,4 wk ahead inc case,2021-06-19,PT,point,NA,3301
2021-05-24,1 wk ahead inc case,2021-05-29,RO,point,NA,2537
2021-05-24,2 wk ahead inc case,2021-06-05,RO,point,NA,1617
2021-05-24,3 wk ahead inc case,2021-06-12,RO,point,NA,1138
2021-05-24,4 wk ahead inc case,2021-06-19,RO,point,NA,971
2021-05-24,1 wk ahead inc case,2021-05-29,SE,point,NA,20410
2021-05-24,2 wk ahead inc case,2021-06-05,SE,point,NA,17244
2021-05-24,3 wk ahead inc case,2021-06-12,SE,point,NA,14486
2021-05-24,4 wk ahead inc case,2021-06-19,SE,point,NA,12114
2021-05-24,1 wk ahead inc case,2021-05-29,SK,point,NA,1071
2021-05-24,2 wk ahead inc case,2021-06-05,SK,point,NA,811
2021-05-24,3 wk ahead inc case,2021-06-12,SK,point,NA,643
2021-05-24,4 wk ahead inc case,2021-06-19,SK,point,NA,530
2021-05-24,1 wk ahead inc death,2021-05-29,AT,point,NA,51
2021-05-24,2 wk ahead inc death,2021-06-05,AT,point,NA,35
2021-05-24,3 wk ahead inc death,2021-06-12,AT,point,NA,24
2021-05-24,4 wk ahead inc death,2021-06-19,AT,point,NA,17
2021-05-24,1 wk ahead inc death,2021-05-29,BE,point,NA,112
2021-05-24,2 wk ahead inc death,2021-06-05,BE,point,NA,92
2021-05-24,3 wk ahead inc death,2021-06-12,BE,point,NA,78
2021-05-24,4 wk ahead inc death,2021-06-19,BE,point,NA,65
2021-05-24,1 wk ahead inc death,2021-05-29,BG,point,NA,182
2021-05-24,2 wk ahead inc death,2021-06-05,BG,point,NA,130
2021-05-24,3 wk ahead inc death,2021-06-12,BG,point,NA,89
2021-05-24,4 wk ahead inc death,2021-06-19,BG,point,NA,63
2021-05-24,1 wk ahead inc death,2021-05-29,CH,point,NA,33
2021-05-24,2 wk ahead inc death,2021-06-05,CH,point,NA,29
2021-05-24,3 wk ahead inc death,2021-06-12,CH,point,NA,27
2021-05-24,4 wk ahead inc death,2021-06-19,CH,point,NA,25
2021-05-24,1 wk ahead inc death,2021-05-29,CZ,point,NA,106
2021-05-24,2 wk ahead inc death,2021-06-05,CZ,point,NA,74
2021-05-24,3 wk ahead inc death,2021-06-12,CZ,point,NA,52
2021-05-24,4 wk ahead inc death,2021-06-19,CZ,point,NA,37
2021-05-24,1 wk ahead inc death,2021-05-29,DK,point,NA,8
