forecast_date,target,target_end_date,location,type,quantile,value
2021-08-23,1 wk ahead inc case,2021-08-28,AT,point,NA,9472
2021-08-23,2 wk ahead inc case,2021-09-04,AT,point,NA,11888
2021-08-23,3 wk ahead inc case,2021-09-11,AT,point,NA,14341
2021-08-23,4 wk ahead inc case,2021-09-18,AT,point,NA,17161
2021-08-23,1 wk ahead inc case,2021-08-28,BE,point,NA,13087
2021-08-23,2 wk ahead inc case,2021-09-04,BE,point,NA,13505
2021-08-23,3 wk ahead inc case,2021-09-11,BE,point,NA,13911
2021-08-23,4 wk ahead inc case,2021-09-18,BE,point,NA,14314
2021-08-23,1 wk ahead inc case,2021-08-28,BG,point,NA,11698
2021-08-23,2 wk ahead inc case,2021-09-04,BG,point,NA,17050
2021-08-23,3 wk ahead inc case,2021-09-11,BG,point,NA,24577
2021-08-23,4 wk ahead inc case,2021-09-18,BG,point,NA,36270
2021-08-23,1 wk ahead inc case,2021-08-28,CH,point,NA,22768
2021-08-23,2 wk ahead inc case,2021-09-04,CH,point,NA,30859
2021-08-23,3 wk ahead inc case,2021-09-11,CH,point,NA,41253
2021-08-23,4 wk ahead inc case,2021-09-18,CH,point,NA,54315
2021-08-23,1 wk ahead inc case,2021-08-28,CY,point,NA,1933
2021-08-23,2 wk ahead inc case,2021-09-04,CY,point,NA,1605
2021-08-23,3 wk ahead inc case,2021-09-11,CY,point,NA,1426
2021-08-23,4 wk ahead inc case,2021-09-18,CY,point,NA,1320
2021-08-23,1 wk ahead inc case,2021-08-28,CZ,point,NA,1281
2021-08-23,2 wk ahead inc case,2021-09-04,CZ,point,NA,1307
2021-08-23,3 wk ahead inc case,2021-09-11,CZ,point,NA,1345
2021-08-23,4 wk ahead inc case,2021-09-18,CZ,point,NA,1390
2021-08-23,1 wk ahead inc case,2021-08-28,DE,point,NA,65944
2021-08-23,2 wk ahead inc case,2021-09-04,DE,point,NA,93669
2021-08-23,3 wk ahead inc case,2021-09-11,DE,point,NA,131570
2021-08-23,4 wk ahead inc case,2021-09-18,DE,point,NA,184424
2021-08-23,1 wk ahead inc case,2021-08-28,DK,point,NA,6585
2021-08-23,2 wk ahead inc case,2021-09-04,DK,point,NA,6543
2021-08-23,3 wk ahead inc case,2021-09-11,DK,point,NA,6475
2021-08-23,4 wk ahead inc case,2021-09-18,DK,point,NA,6514
2021-08-23,1 wk ahead inc case,2021-08-28,EE,point,NA,2043
2021-08-23,2 wk ahead inc case,2021-09-04,EE,point,NA,2276
2021-08-23,3 wk ahead inc case,2021-09-11,EE,point,NA,2562
2021-08-23,4 wk ahead inc case,2021-09-18,EE,point,NA,2925
2021-08-23,1 wk ahead inc case,2021-08-28,ES,point,NA,58880
2021-08-23,2 wk ahead inc case,2021-09-04,ES,point,NA,47121
2021-08-23,3 wk ahead inc case,2021-09-11,ES,point,NA,38908
2021-08-23,4 wk ahead inc case,2021-09-18,ES,point,NA,33139
2021-08-23,1 wk ahead inc case,2021-08-28,FI,point,NA,4813
2021-08-23,2 wk ahead inc case,2021-09-04,FI,point,NA,4777
2021-08-23,3 wk ahead inc case,2021-09-11,FI,point,NA,4819
2021-08-23,4 wk ahead inc case,2021-09-18,FI,point,NA,4870
2021-08-23,1 wk ahead inc case,2021-08-28,FR,point,NA,133539
2021-08-23,2 wk ahead inc case,2021-09-04,FR,point,NA,126392
2021-08-23,3 wk ahead inc case,2021-09-11,FR,point,NA,120854
2021-08-23,4 wk ahead inc case,2021-09-18,FR,point,NA,116116
2021-08-23,1 wk ahead inc case,2021-08-28,GB,point,NA,230924
2021-08-23,2 wk ahead inc case,2021-09-04,GB,point,NA,240185
2021-08-23,3 wk ahead inc case,2021-09-11,GB,point,NA,243836
2021-08-23,4 wk ahead inc case,2021-09-18,GB,point,NA,242223
2021-08-23,1 wk ahead inc case,2021-08-28,GR,point,NA,21847
2021-08-23,2 wk ahead inc case,2021-09-04,GR,point,NA,22094
2021-08-23,3 wk ahead inc case,2021-09-11,GR,point,NA,22305
2021-08-23,4 wk ahead inc case,2021-09-18,GR,point,NA,22619
2021-08-23,1 wk ahead inc case,2021-08-28,HR,point,NA,3491
