forecast_date,target,target_end_date,location,type,quantile,value
2021-07-05,1 wk ahead inc case,2021-07-10,AT,point,NA,365
2021-07-05,2 wk ahead inc case,2021-07-17,AT,point,NA,280
2021-07-05,3 wk ahead inc case,2021-07-24,AT,point,NA,233
2021-07-05,4 wk ahead inc case,2021-07-31,AT,point,NA,214
2021-07-05,1 wk ahead inc case,2021-07-10,BE,point,NA,2294
2021-07-05,2 wk ahead inc case,2021-07-17,BE,point,NA,2031
2021-07-05,3 wk ahead inc case,2021-07-24,BE,point,NA,1892
2021-07-05,4 wk ahead inc case,2021-07-31,BE,point,NA,1886
2021-07-05,1 wk ahead inc case,2021-07-10,BG,point,NA,386
2021-07-05,2 wk ahead inc case,2021-07-17,BG,point,NA,330
2021-07-05,3 wk ahead inc case,2021-07-24,BG,point,NA,287
2021-07-05,4 wk ahead inc case,2021-07-31,BG,point,NA,255
2021-07-05,1 wk ahead inc case,2021-07-10,CH,point,NA,526
2021-07-05,2 wk ahead inc case,2021-07-17,CH,point,NA,412
2021-07-05,3 wk ahead inc case,2021-07-24,CH,point,NA,340
2021-07-05,4 wk ahead inc case,2021-07-31,CH,point,NA,303
2021-07-05,1 wk ahead inc case,2021-07-10,CY,point,NA,5042
2021-07-05,2 wk ahead inc case,2021-07-17,CY,point,NA,9153
2021-07-05,3 wk ahead inc case,2021-07-24,CY,point,NA,10294
2021-07-05,4 wk ahead inc case,2021-07-31,CY,point,NA,9245
2021-07-05,1 wk ahead inc case,2021-07-10,CZ,point,NA,995
2021-07-05,2 wk ahead inc case,2021-07-17,CZ,point,NA,1128
2021-07-05,3 wk ahead inc case,2021-07-24,CZ,point,NA,1341
2021-07-05,4 wk ahead inc case,2021-07-31,CZ,point,NA,1679
2021-07-05,1 wk ahead inc case,2021-07-10,DE,point,NA,3050
2021-07-05,2 wk ahead inc case,2021-07-17,DE,point,NA,2508
2021-07-05,3 wk ahead inc case,2021-07-24,DE,point,NA,2271
2021-07-05,4 wk ahead inc case,2021-07-31,DE,point,NA,2230
2021-07-05,1 wk ahead inc case,2021-07-10,DK,point,NA,2167
2021-07-05,2 wk ahead inc case,2021-07-17,DK,point,NA,2566
2021-07-05,3 wk ahead inc case,2021-07-24,DK,point,NA,3125
2021-07-05,4 wk ahead inc case,2021-07-31,DK,point,NA,4065
2021-07-05,1 wk ahead inc case,2021-07-10,EE,point,NA,188
2021-07-05,2 wk ahead inc case,2021-07-17,EE,point,NA,198
2021-07-05,3 wk ahead inc case,2021-07-24,EE,point,NA,208
2021-07-05,4 wk ahead inc case,2021-07-31,EE,point,NA,219
2021-07-05,1 wk ahead inc case,2021-07-10,ES,point,NA,48218
2021-07-05,2 wk ahead inc case,2021-07-17,ES,point,NA,58491
2021-07-05,3 wk ahead inc case,2021-07-24,ES,point,NA,70378
2021-07-05,4 wk ahead inc case,2021-07-31,ES,point,NA,87350
2021-07-05,1 wk ahead inc case,2021-07-10,FI,point,NA,1362
2021-07-05,2 wk ahead inc case,2021-07-17,FI,point,NA,1687
2021-07-05,3 wk ahead inc case,2021-07-24,FI,point,NA,2075
2021-07-05,4 wk ahead inc case,2021-07-31,FI,point,NA,2617
2021-07-05,1 wk ahead inc case,2021-07-10,FR,point,NA,12505
2021-07-05,2 wk ahead inc case,2021-07-17,FR,point,NA,12682
2021-07-05,3 wk ahead inc case,2021-07-24,FR,point,NA,12896
2021-07-05,4 wk ahead inc case,2021-07-31,FR,point,NA,13458
2021-07-05,1 wk ahead inc case,2021-07-10,GB,point,NA,216889
2021-07-05,2 wk ahead inc case,2021-07-17,GB,point,NA,308380
2021-07-05,3 wk ahead inc case,2021-07-24,GB,point,NA,426621
2021-07-05,4 wk ahead inc case,2021-07-31,GB,point,NA,558911
2021-07-05,1 wk ahead inc case,2021-07-10,GR,point,NA,5712
2021-07-05,2 wk ahead inc case,2021-07-17,GR,point,NA,8954
2021-07-05,3 wk ahead inc case,2021-07-24,GR,point,NA,16528
2021-07-05,4 wk ahead inc case,2021-07-31,GR,point,NA,26918
2021-07-05,1 wk ahead inc case,2021-07-10,HR,point,NA,570
2021-07-05,2 wk ahead inc case,2021-07-17,HR,point,NA,631
2021-07-05,3 wk ahead inc case,2021-07-24,HR,point,NA,724
2021-07-05,4 wk ahead inc case,2021-07-31,HR,point,NA,870
2021-07-05,1 wk ahead inc case,2021-07-10,HU,point,NA,176
2021-07-05,2 wk ahead inc case,2021-07-17,HU,point,NA,104
2021-07-05,3 wk ahead inc case,2021-07-24,HU,point,NA,70
2021-07-05,4 wk ahead inc case,2021-07-31,HU,point,NA,53
2021-07-05,1 wk ahead inc case,2021-07-10,IE,point,NA,2865
2021-07-05,2 wk ahead inc case,2021-07-17,IE,point,NA,2985
2021-07-05,3 wk ahead inc case,2021-07-24,IE,point,NA,3075
2021-07-05,4 wk ahead inc case,2021-07-31,IE,point,NA,3150
2021-07-05,1 wk ahead inc case,2021-07-10,IS,point,NA,0
2021-07-05,2 wk ahead inc case,2021-07-17,IS,point,NA,0
2021-07-05,3 wk ahead inc case,2021-07-24,IS,point,NA,0
2021-07-05,4 wk ahead inc case,2021-07-31,IS,point,NA,0
2021-07-05,1 wk ahead inc case,2021-07-10,IT,point,NA,4687
2021-07-05,2 wk ahead inc case,2021-07-17,IT,point,NA,4672
2021-07-05,3 wk ahead inc case,2021-07-24,IT,point,NA,4992
2021-07-05,4 wk ahead inc case,2021-07-31,IT,point,NA,5561
2021-07-05,1 wk ahead inc case,2021-07-10,LI,point,NA,8
2021-07-05,2 wk ahead inc case,2021-07-17,LI,point,NA,9
2021-07-05,3 wk ahead inc case,2021-07-24,LI,point,NA,10
2021-07-05,4 wk ahead inc case,2021-07-31,LI,point,NA,12
2021-07-05,1 wk ahead inc case,2021-07-10,LT,point,NA,146
2021-07-05,2 wk ahead inc case,2021-07-17,LT,point,NA,96
2021-07-05,3 wk ahead inc case,2021-07-24,LT,point,NA,69
2021-07-05,4 wk ahead inc case,2021-07-31,LT,point,NA,58
2021-07-05,1 wk ahead inc case,2021-07-10,LU,point,NA,499
2021-07-05,2 wk ahead inc case,2021-07-17,LU,point,NA,1378
2021-07-05,3 wk ahead inc case,2021-07-24,LU,point,NA,2126
2021-07-05,4 wk ahead inc case,2021-07-31,LU,point,NA,1358
2021-07-05,1 wk ahead inc case,2021-07-10,LV,point,NA,265
2021-07-05,2 wk ahead inc case,2021-07-17,LV,point,NA,198
2021-07-05,3 wk ahead inc case,2021-07-24,LV,point,NA,162
2021-07-05,4 wk ahead inc case,2021-07-31,LV,point,NA,144
2021-07-05,1 wk ahead inc case,2021-07-10,MT,point,NA,34
2021-07-05,2 wk ahead inc case,2021-07-17,MT,point,NA,43
2021-07-05,3 wk ahead inc case,2021-07-24,MT,point,NA,66
2021-07-05,4 wk ahead inc case,2021-07-31,MT,point,NA,118
2021-07-05,1 wk ahead inc case,2021-07-10,NL,point,NA,6663
2021-07-05,2 wk ahead inc case,2021-07-17,NL,point,NA,10869
2021-07-05,3 wk ahead inc case,2021-07-24,NL,point,NA,21691
2021-07-05,4 wk ahead inc case,2021-07-31,NL,point,NA,43266
2021-07-05,1 wk ahead inc case,2021-07-10,NO,point,NA,1194
2021-07-05,2 wk ahead inc case,2021-07-17,NO,point,NA,1146
2021-07-05,3 wk ahead inc case,2021-07-24,NO,point,NA,1097
2021-07-05,4 wk ahead inc case,2021-07-31,NO,point,NA,1056
2021-07-05,1 wk ahead inc case,2021-07-10,PL,point,NA,479
2021-07-05,2 wk ahead inc case,2021-07-17,PL,point,NA,360
