forecast_date,target,target_end_date,location,type,quantile,value
2021-05-03,1 wk ahead inc case,2021-05-08,AT,point,NA,12186
2021-05-03,2 wk ahead inc case,2021-05-15,AT,point,NA,11016
2021-05-03,3 wk ahead inc case,2021-05-22,AT,point,NA,10203
2021-05-03,4 wk ahead inc case,2021-05-29,AT,point,NA,9567
2021-05-03,1 wk ahead inc case,2021-05-08,BE,point,NA,20036
2021-05-03,2 wk ahead inc case,2021-05-15,BE,point,NA,18689
2021-05-03,3 wk ahead inc case,2021-05-22,BE,point,NA,17628
2021-05-03,4 wk ahead inc case,2021-05-29,BE,point,NA,16771
2021-05-03,1 wk ahead inc case,2021-05-08,BG,point,NA,6192
2021-05-03,2 wk ahead inc case,2021-05-15,BG,point,NA,4956
2021-05-03,3 wk ahead inc case,2021-05-22,BG,point,NA,4249
2021-05-03,4 wk ahead inc case,2021-05-29,BG,point,NA,3864
2021-05-03,1 wk ahead inc case,2021-05-08,CH,point,NA,11494
2021-05-03,2 wk ahead inc case,2021-05-15,CH,point,NA,10772
2021-05-03,3 wk ahead inc case,2021-05-22,CH,point,NA,10252
2021-05-03,4 wk ahead inc case,2021-05-29,CH,point,NA,9859
2021-05-03,1 wk ahead inc case,2021-05-08,CY,point,NA,4504
2021-05-03,2 wk ahead inc case,2021-05-15,CY,point,NA,4333
2021-05-03,3 wk ahead inc case,2021-05-22,CY,point,NA,4394
2021-05-03,4 wk ahead inc case,2021-05-29,CY,point,NA,4510
2021-05-03,1 wk ahead inc case,2021-05-08,CZ,point,NA,11220
2021-05-03,2 wk ahead inc case,2021-05-15,CZ,point,NA,9662
2021-05-03,3 wk ahead inc case,2021-05-22,CZ,point,NA,8641
2021-05-03,4 wk ahead inc case,2021-05-29,CZ,point,NA,7902
2021-05-03,1 wk ahead inc case,2021-05-08,DE,point,NA,118635
2021-05-03,2 wk ahead inc case,2021-05-15,DE,point,NA,110237
2021-05-03,3 wk ahead inc case,2021-05-22,DE,point,NA,103578
2021-05-03,4 wk ahead inc case,2021-05-29,DE,point,NA,97795
