forecast_date,target,target_end_date,location,type,quantile,value
2021-09-20,1 wk ahead inc case,2021-09-25,AT,point,NA,14808
2021-09-20,2 wk ahead inc case,2021-10-02,AT,point,NA,15707
2021-09-20,3 wk ahead inc case,2021-10-09,AT,point,NA,16688
2021-09-20,4 wk ahead inc case,2021-10-16,AT,point,NA,17869
2021-09-20,1 wk ahead inc case,2021-09-25,BE,point,NA,13021
2021-09-20,2 wk ahead inc case,2021-10-02,BE,point,NA,12743
2021-09-20,3 wk ahead inc case,2021-10-09,BE,point,NA,12401
2021-09-20,4 wk ahead inc case,2021-10-16,BE,point,NA,12042
2021-09-20,1 wk ahead inc case,2021-09-25,BG,point,NA,10489
2021-09-20,2 wk ahead inc case,2021-10-02,BG,point,NA,10866
2021-09-20,3 wk ahead inc case,2021-10-09,BG,point,NA,11267
2021-09-20,4 wk ahead inc case,2021-10-16,BG,point,NA,11619
2021-09-20,1 wk ahead inc case,2021-09-25,CH,point,NA,11833
2021-09-20,2 wk ahead inc case,2021-10-02,CH,point,NA,11080
2021-09-20,3 wk ahead inc case,2021-10-09,CH,point,NA,10639
2021-09-20,4 wk ahead inc case,2021-10-16,CH,point,NA,10227
2021-09-20,1 wk ahead inc case,2021-09-25,CY,point,NA,221
2021-09-20,2 wk ahead inc case,2021-10-02,CY,point,NA,146
2021-09-20,3 wk ahead inc case,2021-10-09,CY,point,NA,105
2021-09-20,4 wk ahead inc case,2021-10-16,CY,point,NA,80
2021-09-20,1 wk ahead inc case,2021-09-25,CZ,point,NA,3469
2021-09-20,2 wk ahead inc case,2021-10-02,CZ,point,NA,4326
2021-09-20,3 wk ahead inc case,2021-10-09,CZ,point,NA,5444
2021-09-20,4 wk ahead inc case,2021-10-16,CZ,point,NA,7087
2021-09-20,1 wk ahead inc case,2021-09-25,DE,point,NA,59263
2021-09-20,2 wk ahead inc case,2021-10-02,DE,point,NA,56584
2021-09-20,3 wk ahead inc case,2021-10-09,DE,point,NA,54714
2021-09-20,4 wk ahead inc case,2021-10-16,DE,point,NA,53273
2021-09-20,1 wk ahead inc case,2021-09-25,DK,point,NA,1808
2021-09-20,2 wk ahead inc case,2021-10-02,DK,point,NA,1451
2021-09-20,3 wk ahead inc case,2021-10-09,DK,point,NA,1246
2021-09-20,4 wk ahead inc case,2021-10-16,DK,point,NA,1137
2021-09-20,1 wk ahead inc case,2021-09-25,EE,point,NA,3235
2021-09-20,2 wk ahead inc case,2021-10-02,EE,point,NA,3473
2021-09-20,3 wk ahead inc case,2021-10-09,EE,point,NA,3726
2021-09-20,4 wk ahead inc case,2021-10-16,EE,point,NA,3959
2021-09-20,1 wk ahead inc case,2021-09-25,ES,point,NA,16291
2021-09-20,2 wk ahead inc case,2021-10-02,ES,point,NA,12958
2021-09-20,3 wk ahead inc case,2021-10-09,ES,point,NA,10848
2021-09-20,4 wk ahead inc case,2021-10-16,ES,point,NA,9448
2021-09-20,1 wk ahead inc case,2021-09-25,FI,point,NA,2679
2021-09-20,2 wk ahead inc case,2021-10-02,FI,point,NA,2555
2021-09-20,3 wk ahead inc case,2021-10-09,FI,point,NA,2370
2021-09-20,4 wk ahead inc case,2021-10-16,FI,point,NA,2207
2021-09-20,1 wk ahead inc case,2021-09-25,FR,point,NA,38541
2021-09-20,2 wk ahead inc case,2021-10-02,FR,point,NA,29602
2021-09-20,3 wk ahead inc case,2021-10-09,FR,point,NA,24303
2021-09-20,4 wk ahead inc case,2021-10-16,FR,point,NA,20829
2021-09-20,1 wk ahead inc case,2021-09-25,GB,point,NA,195811
2021-09-20,2 wk ahead inc case,2021-10-02,GB,point,NA,193517
2021-09-20,3 wk ahead inc case,2021-10-09,GB,point,NA,199222
2021-09-20,4 wk ahead inc case,2021-10-16,GB,point,NA,196035
2021-09-20,1 wk ahead inc case,2021-09-25,GR,point,NA,14372
2021-09-20,2 wk ahead inc case,2021-10-02,GR,point,NA,13984
2021-09-20,3 wk ahead inc case,2021-10-09,GR,point,NA,13600
2021-09-20,4 wk ahead inc case,2021-10-16,GR,point,NA,13147
2021-09-20,1 wk ahead inc case,2021-09-25,HR,point,NA,9468
2021-09-20,2 wk ahead inc case,2021-10-02,HR,point,NA,11729
2021-09-20,3 wk ahead inc case,2021-10-09,HR,point,NA,14304
2021-09-20,4 wk ahead inc case,2021-10-16,HR,point,NA,17135
2021-09-20,1 wk ahead inc case,2021-09-25,HU,point,NA,2980
2021-09-20,2 wk ahead inc case,2021-10-02,HU,point,NA,3907
2021-09-20,3 wk ahead inc case,2021-10-09,HU,point,NA,5070
2021-09-20,4 wk ahead inc case,2021-10-16,HU,point,NA,6508
2021-09-20,1 wk ahead inc case,2021-09-25,IE,point,NA,8127
2021-09-20,2 wk ahead inc case,2021-10-02,IE,point,NA,7535
2021-09-20,3 wk ahead inc case,2021-10-09,IE,point,NA,7210
2021-09-20,4 wk ahead inc case,2021-10-16,IE,point,NA,6969
2021-09-20,1 wk ahead inc case,2021-09-25,IS,point,NA,106
2021-09-20,2 wk ahead inc case,2021-10-02,IS,point,NA,88
2021-09-20,3 wk ahead inc case,2021-10-09,IS,point,NA,87
2021-09-20,4 wk ahead inc case,2021-10-16,IS,point,NA,99
2021-09-20,1 wk ahead inc case,2021-09-25,IT,point,NA,27573
2021-09-20,2 wk ahead inc case,2021-10-02,IT,point,NA,25528
2021-09-20,3 wk ahead inc case,2021-10-09,IT,point,NA,24220
2021-09-20,4 wk ahead inc case,2021-10-16,IT,point,NA,23441
2021-09-20,1 wk ahead inc case,2021-09-25,LI,point,NA,38
2021-09-20,2 wk ahead inc case,2021-10-02,LI,point,NA,40
2021-09-20,3 wk ahead inc case,2021-10-09,LI,point,NA,42
2021-09-20,4 wk ahead inc case,2021-10-16,LI,point,NA,45
2021-09-20,1 wk ahead inc case,2021-09-25,LT,point,NA,8794
2021-09-20,2 wk ahead inc case,2021-10-02,LT,point,NA,10574
2021-09-20,3 wk ahead inc case,2021-10-09,LT,point,NA,12306
2021-09-20,4 wk ahead inc case,2021-10-16,LT,point,NA,14046
2021-09-20,1 wk ahead inc case,2021-09-25,LU,point,NA,502
2021-09-20,2 wk ahead inc case,2021-10-02,LU,point,NA,493
2021-09-20,3 wk ahead inc case,2021-10-09,LU,point,NA,484
2021-09-20,4 wk ahead inc case,2021-10-16,LU,point,NA,480
2021-09-20,1 wk ahead inc case,2021-09-25,LV,point,NA,4079
2021-09-20,2 wk ahead inc case,2021-10-02,LV,point,NA,4983
2021-09-20,3 wk ahead inc case,2021-10-09,LV,point,NA,5984
2021-09-20,4 wk ahead inc case,2021-10-16,LV,point,NA,7146
2021-09-20,1 wk ahead inc case,2021-09-25,MT,point,NA,190
2021-09-20,2 wk ahead inc case,2021-10-02,MT,point,NA,181
2021-09-20,3 wk ahead inc case,2021-10-09,MT,point,NA,200
2021-09-20,4 wk ahead inc case,2021-10-16,MT,point,NA,255
2021-09-20,1 wk ahead inc case,2021-09-25,NL,point,NA,12604
2021-09-20,2 wk ahead inc case,2021-10-02,NL,point,NA,11368
2021-09-20,3 wk ahead inc case,2021-10-09,NL,point,NA,10465
2021-09-20,4 wk ahead inc case,2021-10-16,NL,point,NA,9822
2021-09-20,1 wk ahead inc case,2021-09-25,NO,point,NA,5427
2021-09-20,2 wk ahead inc case,2021-10-02,NO,point,NA,4626
2021-09-20,3 wk ahead inc case,2021-10-09,NO,point,NA,4197
2021-09-20,4 wk ahead inc case,2021-10-16,NO,point,NA,3938
2021-09-20,1 wk ahead inc case,2021-09-25,PL,point,NA,5938
2021-09-20,2 wk ahead inc case,2021-10-02,PL,point,NA,8033
2021-09-20,3 wk ahead inc case,2021-10-09,PL,point,NA,10973
2021-09-20,4 wk ahead inc case,2021-10-16,PL,point,NA,15407
2021-09-20,1 wk ahead inc case,2021-09-25,PT,point,NA,4968
2021-09-20,2 wk ahead inc case,2021-10-02,PT,point,NA,3696
2021-09-20,3 wk ahead inc case,2021-10-09,PT,point,NA,2844
2021-09-20,4 wk ahead inc case,2021-10-16,PT,point,NA,2310
2021-09-20,1 wk ahead inc case,2021-09-25,RO,point,NA,42369
2021-09-20,2 wk ahead inc case,2021-10-02,RO,point,NA,73510
2021-09-20,3 wk ahead inc case,2021-10-09,RO,point,NA,121951
2021-09-20,4 wk ahead inc case,2021-10-16,RO,point,NA,181121
2021-09-20,1 wk ahead inc case,2021-09-25,SE,point,NA,6590
2021-09-20,2 wk ahead inc case,2021-10-02,SE,point,NA,6481
2021-09-20,3 wk ahead inc case,2021-10-09,SE,point,NA,6352
2021-09-20,4 wk ahead inc case,2021-10-16,SE,point,NA,6208
2021-09-20,1 wk ahead inc case,2021-09-25,SI,point,NA,8764
2021-09-20,2 wk ahead inc case,2021-10-02,SI,point,NA,10832
2021-09-20,3 wk ahead inc case,2021-10-09,SI,point,NA,13211
2021-09-20,4 wk ahead inc case,2021-10-16,SI,point,NA,15912
2021-09-20,1 wk ahead inc case,2021-09-25,SK,point,NA,5849
2021-09-20,2 wk ahead inc case,2021-10-02,SK,point,NA,8918
2021-09-20,3 wk ahead inc case,2021-10-09,SK,point,NA,13345
2021-09-20,4 wk ahead inc case,2021-10-16,SK,point,NA,19727
2021-09-20,1 wk ahead inc death,2021-09-25,AT,point,NA,62
2021-09-20,2 wk ahead inc death,2021-10-02,AT,point,NA,71
