forecast_date,target,target_end_date,location,type,quantile,value
2021-07-26,1 wk ahead inc case,2021-07-31,AT,point,NA,2815
2021-07-26,2 wk ahead inc case,2021-08-07,AT,point,NA,3358
2021-07-26,3 wk ahead inc case,2021-08-14,AT,point,NA,3690
2021-07-26,4 wk ahead inc case,2021-08-21,AT,point,NA,3902
2021-07-26,1 wk ahead inc case,2021-07-31,BE,point,NA,11481
2021-07-26,2 wk ahead inc case,2021-08-07,BE,point,NA,13898
2021-07-26,3 wk ahead inc case,2021-08-14,BE,point,NA,13851
2021-07-26,4 wk ahead inc case,2021-08-21,BE,point,NA,13235
2021-07-26,1 wk ahead inc case,2021-07-31,BG,point,NA,854
2021-07-26,2 wk ahead inc case,2021-08-07,BG,point,NA,1073
2021-07-26,3 wk ahead inc case,2021-08-14,BG,point,NA,1346
2021-07-26,4 wk ahead inc case,2021-08-21,BG,point,NA,1677
2021-07-26,1 wk ahead inc case,2021-07-31,CH,point,NA,6920
2021-07-26,2 wk ahead inc case,2021-08-07,CH,point,NA,9085
2021-07-26,3 wk ahead inc case,2021-08-14,CH,point,NA,11067
2021-07-26,4 wk ahead inc case,2021-08-21,CH,point,NA,12808
2021-07-26,1 wk ahead inc case,2021-07-31,CY,point,NA,6500
2021-07-26,2 wk ahead inc case,2021-08-07,CY,point,NA,6549
2021-07-26,3 wk ahead inc case,2021-08-14,CY,point,NA,6417
2021-07-26,4 wk ahead inc case,2021-08-21,CY,point,NA,6130
2021-07-26,1 wk ahead inc case,2021-07-31,CZ,point,NA,1511
2021-07-26,2 wk ahead inc case,2021-08-07,CZ,point,NA,1376
2021-07-26,3 wk ahead inc case,2021-08-14,CZ,point,NA,1201
2021-07-26,4 wk ahead inc case,2021-08-21,CZ,point,NA,1034
2021-07-26,1 wk ahead inc case,2021-07-31,DE,point,NA,14112
2021-07-26,2 wk ahead inc case,2021-08-07,DE,point,NA,17481
2021-07-26,3 wk ahead inc case,2021-08-14,DE,point,NA,21734
2021-07-26,4 wk ahead inc case,2021-08-21,DE,point,NA,26824
2021-07-26,1 wk ahead inc case,2021-07-31,DK,point,NA,5320
2021-07-26,2 wk ahead inc case,2021-08-07,DK,point,NA,4891
2021-07-26,3 wk ahead inc case,2021-08-14,DK,point,NA,4742
2021-07-26,4 wk ahead inc case,2021-08-21,DK,point,NA,4678
2021-07-26,1 wk ahead inc case,2021-07-31,EE,point,NA,765
2021-07-26,2 wk ahead inc case,2021-08-07,EE,point,NA,962
2021-07-26,3 wk ahead inc case,2021-08-14,EE,point,NA,1087
2021-07-26,4 wk ahead inc case,2021-08-21,EE,point,NA,1110
2021-07-26,1 wk ahead inc case,2021-07-31,ES,point,NA,216467
2021-07-26,2 wk ahead inc case,2021-08-07,ES,point,NA,229246
2021-07-26,3 wk ahead inc case,2021-08-14,ES,point,NA,231208
2021-07-26,4 wk ahead inc case,2021-08-21,ES,point,NA,217950
2021-07-26,1 wk ahead inc case,2021-07-31,FI,point,NA,3263
2021-07-26,2 wk ahead inc case,2021-08-07,FI,point,NA,3785
2021-07-26,3 wk ahead inc case,2021-08-14,FI,point,NA,4223
2021-07-26,4 wk ahead inc case,2021-08-21,FI,point,NA,4450
2021-07-26,1 wk ahead inc case,2021-07-31,FR,point,NA,263638
2021-07-26,2 wk ahead inc case,2021-08-07,FR,point,NA,587846
2021-07-26,3 wk ahead inc case,2021-08-14,FR,point,NA,1022328
2021-07-26,4 wk ahead inc case,2021-08-21,FR,point,NA,1298745
2021-07-26,1 wk ahead inc case,2021-07-31,GB,point,NA,271973
2021-07-26,2 wk ahead inc case,2021-08-07,GB,point,NA,268651
