forecast_date,target,target_end_date,location,type,quantile,value
2021-06-28,1 wk ahead inc case,2021-07-03,AT,point,NA,540
2021-06-28,2 wk ahead inc case,2021-07-10,AT,point,NA,397
2021-06-28,3 wk ahead inc case,2021-07-17,AT,point,NA,253
2021-06-28,4 wk ahead inc case,2021-07-24,AT,point,NA,228
2021-06-28,1 wk ahead inc case,2021-07-03,BE,point,NA,2034
2021-06-28,2 wk ahead inc case,2021-07-10,BE,point,NA,1359
2021-06-28,3 wk ahead inc case,2021-07-17,BE,point,NA,978
2021-06-28,4 wk ahead inc case,2021-07-24,BE,point,NA,681
2021-06-28,1 wk ahead inc case,2021-07-03,BG,point,NA,392
2021-06-28,2 wk ahead inc case,2021-07-10,BG,point,NA,306
2021-06-28,3 wk ahead inc case,2021-07-17,BG,point,NA,251
2021-06-28,4 wk ahead inc case,2021-07-24,BG,point,NA,232
2021-06-28,1 wk ahead inc case,2021-07-03,CH,point,NA,626
2021-06-28,2 wk ahead inc case,2021-07-10,CH,point,NA,432
2021-06-28,3 wk ahead inc case,2021-07-17,CH,point,NA,282
2021-06-28,4 wk ahead inc case,2021-07-24,CH,point,NA,216
2021-06-28,1 wk ahead inc case,2021-07-03,CY,point,NA,1393
2021-06-28,2 wk ahead inc case,2021-07-10,CY,point,NA,1652
2021-06-28,3 wk ahead inc case,2021-07-17,CY,point,NA,1936
2021-06-28,4 wk ahead inc case,2021-07-24,CY,point,NA,1542
2021-06-28,1 wk ahead inc case,2021-07-03,CZ,point,NA,637
2021-06-28,2 wk ahead inc case,2021-07-10,CZ,point,NA,494
2021-06-28,3 wk ahead inc case,2021-07-17,CZ,point,NA,371
2021-06-28,4 wk ahead inc case,2021-07-24,CZ,point,NA,388
2021-06-28,1 wk ahead inc case,2021-07-03,DE,point,NA,3032
2021-06-28,2 wk ahead inc case,2021-07-10,DE,point,NA,1710
2021-06-28,3 wk ahead inc case,2021-07-17,DE,point,NA,1084
2021-06-28,4 wk ahead inc case,2021-07-24,DE,point,NA,702
2021-06-28,1 wk ahead inc case,2021-07-03,DK,point,NA,918
2021-06-28,2 wk ahead inc case,2021-07-10,DK,point,NA,709
2021-06-28,3 wk ahead inc case,2021-07-17,DK,point,NA,548
2021-06-28,4 wk ahead inc case,2021-07-24,DK,point,NA,428
2021-06-28,1 wk ahead inc case,2021-07-03,EE,point,NA,136
2021-06-28,2 wk ahead inc case,2021-07-10,EE,point,NA,86
2021-06-28,3 wk ahead inc case,2021-07-17,EE,point,NA,59
2021-06-28,4 wk ahead inc case,2021-07-24,EE,point,NA,44
2021-06-28,1 wk ahead inc case,2021-07-03,ES,point,NA,20679
2021-06-28,2 wk ahead inc case,2021-07-10,ES,point,NA,18359
2021-06-28,3 wk ahead inc case,2021-07-17,ES,point,NA,16510
2021-06-28,4 wk ahead inc case,2021-07-24,ES,point,NA,14980
2021-06-28,1 wk ahead inc case,2021-07-03,FI,point,NA,571
2021-06-28,2 wk ahead inc case,2021-07-10,FI,point,NA,503
2021-06-28,3 wk ahead inc case,2021-07-17,FI,point,NA,496
2021-06-28,4 wk ahead inc case,2021-07-24,FI,point,NA,520
2021-06-28,1 wk ahead inc case,2021-07-03,FR,point,NA,7779
2021-06-28,2 wk ahead inc case,2021-07-10,FR,point,NA,4968
2021-06-28,3 wk ahead inc case,2021-07-17,FR,point,NA,3311
2021-06-28,4 wk ahead inc case,2021-07-24,FR,point,NA,2184
2021-06-28,1 wk ahead inc case,2021-07-03,GB,point,NA,124467
2021-06-28,2 wk ahead inc case,2021-07-10,GB,point,NA,165406
2021-06-28,3 wk ahead inc case,2021-07-17,GB,point,NA,194304
2021-06-28,4 wk ahead inc case,2021-07-24,GB,point,NA,214701
2021-06-28,1 wk ahead inc case,2021-07-03,GR,point,NA,2155
2021-06-28,2 wk ahead inc case,2021-07-10,GR,point,NA,1712
2021-06-28,3 wk ahead inc case,2021-07-17,GR,point,NA,1327
