forecast_date,target,target_end_date,location,type,quantile,value
2021-10-18,1 wk ahead inc case,2021-10-23,AT,point,NA,14663
2021-10-18,2 wk ahead inc case,2021-10-30,AT,point,NA,15289
2021-10-18,3 wk ahead inc case,2021-11-06,AT,point,NA,15633
2021-10-18,4 wk ahead inc case,2021-11-13,AT,point,NA,15946
2021-10-18,1 wk ahead inc case,2021-10-23,BE,point,NA,17847
2021-10-18,2 wk ahead inc case,2021-10-30,BE,point,NA,18435
2021-10-18,3 wk ahead inc case,2021-11-06,BE,point,NA,18696
2021-10-18,4 wk ahead inc case,2021-11-13,BE,point,NA,18702
2021-10-18,1 wk ahead inc case,2021-10-23,BG,point,NA,23357
2021-10-18,2 wk ahead inc case,2021-10-30,BG,point,NA,27808
2021-10-18,3 wk ahead inc case,2021-11-06,BG,point,NA,30868
2021-10-18,4 wk ahead inc case,2021-11-13,BG,point,NA,33380
2021-10-18,1 wk ahead inc case,2021-10-23,CH,point,NA,5186
2021-10-18,2 wk ahead inc case,2021-10-30,CH,point,NA,4501
2021-10-18,3 wk ahead inc case,2021-11-06,CH,point,NA,3905
2021-10-18,4 wk ahead inc case,2021-11-13,CH,point,NA,3365
2021-10-18,1 wk ahead inc case,2021-10-23,CY,point,NA,1044
2021-10-18,2 wk ahead inc case,2021-10-30,CY,point,NA,1174
2021-10-18,3 wk ahead inc case,2021-11-06,CY,point,NA,1262
2021-10-18,4 wk ahead inc case,2021-11-13,CY,point,NA,1264
2021-10-18,1 wk ahead inc case,2021-10-23,CZ,point,NA,12272
2021-10-18,2 wk ahead inc case,2021-10-30,CZ,point,NA,17652
2021-10-18,3 wk ahead inc case,2021-11-06,CZ,point,NA,27157
2021-10-18,4 wk ahead inc case,2021-11-13,CZ,point,NA,37481
2021-10-18,1 wk ahead inc case,2021-10-23,DE,point,NA,67939
2021-10-18,2 wk ahead inc case,2021-10-30,DE,point,NA,70801
2021-10-18,3 wk ahead inc case,2021-11-06,DE,point,NA,74017
2021-10-18,4 wk ahead inc case,2021-11-13,DE,point,NA,77154
2021-10-18,1 wk ahead inc case,2021-10-23,DK,point,NA,5191
2021-10-18,2 wk ahead inc case,2021-10-30,DK,point,NA,5984
2021-10-18,3 wk ahead inc case,2021-11-06,DK,point,NA,6856
2021-10-18,4 wk ahead inc case,2021-11-13,DK,point,NA,7758
2021-10-18,1 wk ahead inc case,2021-10-23,EE,point,NA,9308
2021-10-18,2 wk ahead inc case,2021-10-30,EE,point,NA,11030
2021-10-18,3 wk ahead inc case,2021-11-06,EE,point,NA,12899
2021-10-18,4 wk ahead inc case,2021-11-13,EE,point,NA,14948
2021-10-18,1 wk ahead inc case,2021-10-23,ES,point,NA,8400
2021-10-18,2 wk ahead inc case,2021-10-30,ES,point,NA,6987
2021-10-18,3 wk ahead inc case,2021-11-06,ES,point,NA,5768
2021-10-18,4 wk ahead inc case,2021-11-13,ES,point,NA,4726
2021-10-18,1 wk ahead inc case,2021-10-23,FI,point,NA,3962
2021-10-18,2 wk ahead inc case,2021-10-30,FI,point,NA,4201
2021-10-18,3 wk ahead inc case,2021-11-06,FI,point,NA,4348
