forecast_date,target,target_end_date,location,type,quantile,value
2021-11-08,1 wk ahead inc case,2021-11-13,AT,point,NA,67504
2021-11-08,2 wk ahead inc case,2021-11-20,AT,point,NA,82998
2021-11-08,3 wk ahead inc case,2021-11-27,AT,point,NA,87405
2021-11-08,4 wk ahead inc case,2021-12-04,AT,point,NA,78884
2021-11-08,1 wk ahead inc case,2021-11-13,BE,point,NA,61787
2021-11-08,2 wk ahead inc case,2021-11-20,BE,point,NA,73169
2021-11-08,3 wk ahead inc case,2021-11-27,BE,point,NA,86026
2021-11-08,4 wk ahead inc case,2021-12-04,BE,point,NA,92075
2021-11-08,1 wk ahead inc case,2021-11-13,BG,point,NA,31686
2021-11-08,2 wk ahead inc case,2021-11-20,BG,point,NA,29985
2021-11-08,3 wk ahead inc case,2021-11-27,BG,point,NA,28003
2021-11-08,4 wk ahead inc case,2021-12-04,BG,point,NA,26056
2021-11-08,1 wk ahead inc case,2021-11-13,CH,point,NA,17522
2021-11-08,2 wk ahead inc case,2021-11-20,CH,point,NA,19876
2021-11-08,3 wk ahead inc case,2021-11-27,CH,point,NA,21227
2021-11-08,4 wk ahead inc case,2021-12-04,CH,point,NA,22243
2021-11-08,1 wk ahead inc case,2021-11-13,CY,point,NA,1447
2021-11-08,2 wk ahead inc case,2021-11-20,CY,point,NA,1626
2021-11-08,3 wk ahead inc case,2021-11-27,CY,point,NA,1782
2021-11-08,4 wk ahead inc case,2021-12-04,CY,point,NA,1806
2021-11-08,1 wk ahead inc case,2021-11-13,CZ,point,NA,80957
2021-11-08,2 wk ahead inc case,2021-11-20,CZ,point,NA,117930
2021-11-08,3 wk ahead inc case,2021-11-27,CZ,point,NA,163663
2021-11-08,4 wk ahead inc case,2021-12-04,CZ,point,NA,191519
2021-11-08,1 wk ahead inc case,2021-11-13,DE,point,NA,203641
2021-11-08,2 wk ahead inc case,2021-11-20,DE,point,NA,239889
2021-11-08,3 wk ahead inc case,2021-11-27,DE,point,NA,276466
2021-11-08,4 wk ahead inc case,2021-12-04,DE,point,NA,296979
2021-11-08,1 wk ahead inc case,2021-11-13,DK,point,NA,19057
2021-11-08,2 wk ahead inc case,2021-11-20,DK,point,NA,26007
2021-11-08,3 wk ahead inc case,2021-11-27,DK,point,NA,33049
2021-11-08,4 wk ahead inc case,2021-12-04,DK,point,NA,34637
2021-11-08,1 wk ahead inc case,2021-11-13,EE,point,NA,14363
2021-11-08,2 wk ahead inc case,2021-11-20,EE,point,NA,15940
2021-11-08,3 wk ahead inc case,2021-11-27,EE,point,NA,17650
2021-11-08,4 wk ahead inc case,2021-12-04,EE,point,NA,19129
2021-11-08,1 wk ahead inc case,2021-11-13,ES,point,NA,15214
2021-11-08,2 wk ahead inc case,2021-11-20,ES,point,NA,16330
2021-11-08,3 wk ahead inc case,2021-11-27,ES,point,NA,17489
2021-11-08,4 wk ahead inc case,2021-12-04,ES,point,NA,18067
