forecast_date,target,target_end_date,location,type,quantile,value
2021-08-09,1 wk ahead inc case,2021-08-14,AT,point,NA,4161
2021-08-09,2 wk ahead inc case,2021-08-21,AT,point,NA,4812
2021-08-09,3 wk ahead inc case,2021-08-28,AT,point,NA,5535
2021-08-09,4 wk ahead inc case,2021-09-04,AT,point,NA,6387
2021-08-09,1 wk ahead inc case,2021-08-14,BE,point,NA,10742
2021-08-09,2 wk ahead inc case,2021-08-21,BE,point,NA,10775
2021-08-09,3 wk ahead inc case,2021-08-28,BE,point,NA,10844
2021-08-09,4 wk ahead inc case,2021-09-04,BE,point,NA,10785
2021-08-09,1 wk ahead inc case,2021-08-14,BG,point,NA,4788
2021-08-09,2 wk ahead inc case,2021-08-21,BG,point,NA,8588
2021-08-09,3 wk ahead inc case,2021-08-28,BG,point,NA,15158
2021-08-09,4 wk ahead inc case,2021-09-04,BG,point,NA,26791
2021-08-09,1 wk ahead inc case,2021-08-14,CH,point,NA,7077
2021-08-09,2 wk ahead inc case,2021-08-21,CH,point,NA,8117
2021-08-09,3 wk ahead inc case,2021-08-28,CH,point,NA,9078
2021-08-09,4 wk ahead inc case,2021-09-04,CH,point,NA,9924
2021-08-09,1 wk ahead inc case,2021-08-14,CY,point,NA,3230
2021-08-09,2 wk ahead inc case,2021-08-21,CY,point,NA,2881
2021-08-09,3 wk ahead inc case,2021-08-28,CY,point,NA,2624
2021-08-09,4 wk ahead inc case,2021-09-04,CY,point,NA,2447
2021-08-09,1 wk ahead inc case,2021-08-14,CZ,point,NA,1234
2021-08-09,2 wk ahead inc case,2021-08-21,CZ,point,NA,1315
2021-08-09,3 wk ahead inc case,2021-08-28,CZ,point,NA,1427
2021-08-09,4 wk ahead inc case,2021-09-04,CZ,point,NA,1612
2021-08-09,1 wk ahead inc case,2021-08-14,DE,point,NA,23571
2021-08-09,2 wk ahead inc case,2021-08-21,DE,point,NA,27992
2021-08-09,3 wk ahead inc case,2021-08-28,DE,point,NA,32744
2021-08-09,4 wk ahead inc case,2021-09-04,DE,point,NA,37336
2021-08-09,1 wk ahead inc case,2021-08-14,DK,point,NA,6132
2021-08-09,2 wk ahead inc case,2021-08-21,DK,point,NA,6164
2021-08-09,3 wk ahead inc case,2021-08-28,DK,point,NA,6142
2021-08-09,4 wk ahead inc case,2021-09-04,DK,point,NA,6093
2021-08-09,1 wk ahead inc case,2021-08-14,EE,point,NA,1813
2021-08-09,2 wk ahead inc case,2021-08-21,EE,point,NA,2327
2021-08-09,3 wk ahead inc case,2021-08-28,EE,point,NA,2938
2021-08-09,4 wk ahead inc case,2021-09-04,EE,point,NA,3736
2021-08-09,1 wk ahead inc case,2021-08-14,ES,point,NA,120444
2021-08-09,2 wk ahead inc case,2021-08-21,ES,point,NA,105683
2021-08-09,3 wk ahead inc case,2021-08-28,ES,point,NA,93079
2021-08-09,4 wk ahead inc case,2021-09-04,ES,point,NA,82508
2021-08-09,1 wk ahead inc case,2021-08-14,FI,point,NA,5766
2021-08-09,2 wk ahead inc case,2021-08-21,FI,point,NA,6435
2021-08-09,3 wk ahead inc case,2021-08-28,FI,point,NA,7376
2021-08-09,4 wk ahead inc case,2021-09-04,FI,point,NA,8229
2021-08-09,1 wk ahead inc case,2021-08-14,FR,point,NA,149400
2021-08-09,2 wk ahead inc case,2021-08-21,FR,point,NA,144138
2021-08-09,3 wk ahead inc case,2021-08-28,FR,point,NA,137652
2021-08-09,4 wk ahead inc case,2021-09-04,FR,point,NA,129113
2021-08-09,1 wk ahead inc case,2021-08-14,GB,point,NA,176594
2021-08-09,2 wk ahead inc case,2021-08-21,GB,point,NA,172214
2021-08-09,3 wk ahead inc case,2021-08-28,GB,point,NA,169149
2021-08-09,4 wk ahead inc case,2021-09-04,GB,point,NA,161628
2021-08-09,1 wk ahead inc case,2021-08-14,GR,point,NA,18789
2021-08-09,2 wk ahead inc case,2021-08-21,GR,point,NA,18868
2021-08-09,3 wk ahead inc case,2021-08-28,GR,point,NA,18962
2021-08-09,4 wk ahead inc case,2021-09-04,GR,point,NA,18916
2021-08-09,1 wk ahead inc case,2021-08-14,HR,point,NA,1429
2021-08-09,2 wk ahead inc case,2021-08-21,HR,point,NA,1572
2021-08-09,3 wk ahead inc case,2021-08-28,HR,point,NA,1734
2021-08-09,4 wk ahead inc case,2021-09-04,HR,point,NA,1902
2021-08-09,1 wk ahead inc case,2021-08-14,HU,point,NA,293
2021-08-09,2 wk ahead inc case,2021-08-21,HU,point,NA,275
2021-08-09,3 wk ahead inc case,2021-08-28,HU,point,NA,263
2021-08-09,4 wk ahead inc case,2021-09-04,HU,point,NA,253
2021-08-09,1 wk ahead inc case,2021-08-14,IE,point,NA,11583
2021-08-09,2 wk ahead inc case,2021-08-21,IE,point,NA,11835
2021-08-09,3 wk ahead inc case,2021-08-28,IE,point,NA,11726
2021-08-09,4 wk ahead inc case,2021-09-04,IE,point,NA,11517
2021-08-09,1 wk ahead inc case,2021-08-14,IS,point,NA,883
2021-08-09,2 wk ahead inc case,2021-08-21,IS,point,NA,1078
2021-08-09,3 wk ahead inc case,2021-08-28,IS,point,NA,1469
2021-08-09,4 wk ahead inc case,2021-09-04,IS,point,NA,2257
2021-08-09,1 wk ahead inc case,2021-08-14,IT,point,NA,44532
2021-08-09,2 wk ahead inc case,2021-08-21,IT,point,NA,48144
2021-08-09,3 wk ahead inc case,2021-08-28,IT,point,NA,51691
2021-08-09,4 wk ahead inc case,2021-09-04,IT,point,NA,55060
2021-08-09,1 wk ahead inc case,2021-08-14,LI,point,NA,15
2021-08-09,2 wk ahead inc case,2021-08-21,LI,point,NA,17
2021-08-09,3 wk ahead inc case,2021-08-28,LI,point,NA,18
2021-08-09,4 wk ahead inc case,2021-09-04,LI,point,NA,20
2021-08-09,1 wk ahead inc case,2021-08-14,LT,point,NA,4002
