forecast_date,target,target_end_date,location,type,quantile,value
2021-08-23,1 wk ahead inc case,2021-08-28,AT,point,NA,9588
2021-08-23,2 wk ahead inc case,2021-09-04,AT,point,NA,12196
2021-08-23,3 wk ahead inc case,2021-09-11,AT,point,NA,14703
2021-08-23,4 wk ahead inc case,2021-09-18,AT,point,NA,17669
2021-08-23,1 wk ahead inc case,2021-08-28,BG,point,NA,11624
2021-08-23,2 wk ahead inc case,2021-09-04,BG,point,NA,16551
2021-08-23,3 wk ahead inc case,2021-09-11,BG,point,NA,22617
2021-08-23,4 wk ahead inc case,2021-09-18,BG,point,NA,31074
2021-08-23,1 wk ahead inc case,2021-08-28,CZ,point,NA,1272
2021-08-23,2 wk ahead inc case,2021-09-04,CZ,point,NA,1294
2021-08-23,3 wk ahead inc case,2021-09-11,CZ,point,NA,1332
2021-08-23,4 wk ahead inc case,2021-09-18,CZ,point,NA,1375
2021-08-23,1 wk ahead inc case,2021-08-28,DE,point,NA,61608
2021-08-23,2 wk ahead inc case,2021-09-04,DE,point,NA,84386
2021-08-23,3 wk ahead inc case,2021-09-11,DE,point,NA,110068
2021-08-23,4 wk ahead inc case,2021-09-18,DE,point,NA,138412
2021-08-23,1 wk ahead inc case,2021-08-28,EE,point,NA,1598
2021-08-23,2 wk ahead inc case,2021-09-04,EE,point,NA,1735
2021-08-23,3 wk ahead inc case,2021-09-11,EE,point,NA,1854
2021-08-23,4 wk ahead inc case,2021-09-18,EE,point,NA,1941
2021-08-23,1 wk ahead inc case,2021-08-28,FI,point,NA,4620
2021-08-23,2 wk ahead inc case,2021-09-04,FI,point,NA,4609
2021-08-23,3 wk ahead inc case,2021-09-11,FI,point,NA,4704
2021-08-23,4 wk ahead inc case,2021-09-18,FI,point,NA,4818
2021-08-23,1 wk ahead inc case,2021-08-28,GR,point,NA,21865
2021-08-23,2 wk ahead inc case,2021-09-04,GR,point,NA,21646
2021-08-23,3 wk ahead inc case,2021-09-11,GR,point,NA,21432
2021-08-23,4 wk ahead inc case,2021-09-18,GR,point,NA,21220
2021-08-23,1 wk ahead inc case,2021-08-28,HR,point,NA,3599
2021-08-23,2 wk ahead inc case,2021-09-04,HR,point,NA,4983
2021-08-23,3 wk ahead inc case,2021-09-11,HR,point,NA,6693
2021-08-23,4 wk ahead inc case,2021-09-18,HR,point,NA,8795
2021-08-23,1 wk ahead inc case,2021-08-28,HU,point,NA,414
2021-08-23,2 wk ahead inc case,2021-09-04,HU,point,NA,414
2021-08-23,3 wk ahead inc case,2021-09-11,HU,point,NA,420
2021-08-23,4 wk ahead inc case,2021-09-18,HU,point,NA,422
2021-08-23,1 wk ahead inc case,2021-08-28,IE,point,NA,13020
2021-08-23,2 wk ahead inc case,2021-09-04,IE,point,NA,13660
2021-08-23,3 wk ahead inc case,2021-09-11,IE,point,NA,13664
2021-08-23,4 wk ahead inc case,2021-09-18,IE,point,NA,13275
2021-08-23,1 wk ahead inc case,2021-08-28,IT,point,NA,45894
2021-08-23,2 wk ahead inc case,2021-09-04,IT,point,NA,49813
2021-08-23,3 wk ahead inc case,2021-09-11,IT,point,NA,53381
2021-08-23,4 wk ahead inc case,2021-09-18,IT,point,NA,57546
2021-08-23,1 wk ahead inc case,2021-08-28,LT,point,NA,3942
2021-08-23,2 wk ahead inc case,2021-09-04,LT,point,NA,4353
2021-08-23,3 wk ahead inc case,2021-09-11,LT,point,NA,4738
2021-08-23,4 wk ahead inc case,2021-09-18,LT,point,NA,5109
2021-08-23,1 wk ahead inc case,2021-08-28,LV,point,NA,1129
2021-08-23,2 wk ahead inc case,2021-09-04,LV,point,NA,1488
2021-08-23,3 wk ahead inc case,2021-09-11,LV,point,NA,1862
2021-08-23,4 wk ahead inc case,2021-09-18,LV,point,NA,2259
2021-08-23,1 wk ahead inc case,2021-08-28,PL,point,NA,1603
2021-08-23,2 wk ahead inc case,2021-09-04,PL,point,NA,1798
2021-08-23,3 wk ahead inc case,2021-09-11,PL,point,NA,2008
2021-08-23,4 wk ahead inc case,2021-09-18,PL,point,NA,2251
2021-08-23,1 wk ahead inc case,2021-08-28,RO,point,NA,5038
2021-08-23,2 wk ahead inc case,2021-09-04,RO,point,NA,7301
2021-08-23,3 wk ahead inc case,2021-09-11,RO,point,NA,10163
2021-08-23,4 wk ahead inc case,2021-09-18,RO,point,NA,13836
2021-08-23,1 wk ahead inc case,2021-08-28,SE,point,NA,8672
2021-08-23,2 wk ahead inc case,2021-09-04,SE,point,NA,11057
2021-08-23,3 wk ahead inc case,2021-09-11,SE,point,NA,14096
2021-08-23,4 wk ahead inc case,2021-09-18,SE,point,NA,17972
2021-08-23,1 wk ahead inc case,2021-08-28,SI,point,NA,3168
2021-08-23,2 wk ahead inc case,2021-09-04,SI,point,NA,4378
2021-08-23,3 wk ahead inc case,2021-09-11,SI,point,NA,5730
2021-08-23,4 wk ahead inc case,2021-09-18,SI,point,NA,7384
2021-08-23,1 wk ahead inc case,2021-08-28,SK,point,NA,595
2021-08-23,2 wk ahead inc case,2021-09-04,SK,point,NA,689
2021-08-23,3 wk ahead inc case,2021-09-11,SK,point,NA,788
2021-08-23,4 wk ahead inc case,2021-09-18,SK,point,NA,900
2021-08-23,1 wk ahead inc death,2021-08-28,AT,point,NA,11
2021-08-23,2 wk ahead inc death,2021-09-04,AT,point,NA,12
2021-08-23,3 wk ahead inc death,2021-09-11,AT,point,NA,14
2021-08-23,4 wk ahead inc death,2021-09-18,AT,point,NA,14
2021-08-23,1 wk ahead inc death,2021-08-28,BE,point,NA,32
2021-08-23,2 wk ahead inc death,2021-09-04,BE,point,NA,33
2021-08-23,3 wk ahead inc death,2021-09-11,BE,point,NA,34
2021-08-23,4 wk ahead inc death,2021-09-18,BE,point,NA,36
2021-08-23,1 wk ahead inc death,2021-08-28,BG,point,NA,235
2021-08-23,2 wk ahead inc death,2021-09-04,BG,point,NA,405
