model,target_variable,location,weight
CovidMetrics-epiBATS,inc case,DE,0.05329393803608381
epiforecasts-EpiExpert,inc case,AT,0.07048006387877358
epiforecasts-EpiExpert,inc death,AT,0.09447422613001091
epiforecasts-EpiExpert,inc case,BE,0.1396036099578107
epiforecasts-EpiExpert,inc death,BE,0.12555058013910472
epiforecasts-EpiExpert,inc case,BG,0.198592796279042
epiforecasts-EpiExpert,inc death,BG,0.11979710044270936
epiforecasts-EpiExpert,inc case,CH,0.15327451175591142
epiforecasts-EpiExpert,inc death,CH,0.09380467286402755
epiforecasts-EpiExpert,inc case,CY,0.09252408702972559
epiforecasts-EpiExpert,inc death,CY,0.027609329055867667
epiforecasts-EpiExpert,inc case,CZ,0.09486296340903425
epiforecasts-EpiExpert,inc death,CZ,0.0741455060857557
epiforecasts-EpiExpert,inc case,DE,0.08657788446754137
epiforecasts-EpiExpert,inc death,DE,0.09906090674875206
epiforecasts-EpiExpert,inc case,DK,0.04487870903751418
epiforecasts-EpiExpert,inc death,DK,0.12810484219478457
epiforecasts-EpiExpert,inc case,EE,0.16363578906121612
epiforecasts-EpiExpert,inc death,EE,0.24609539533026054
epiforecasts-EpiExpert,inc case,ES,0.10345068733910165
epiforecasts-EpiExpert,inc death,ES,0.08472537550353004
epiforecasts-EpiExpert,inc case,FI,0.171745113560628
epiforecasts-EpiExpert,inc death,FI,0.087597420567782
epiforecasts-EpiExpert,inc case,FR,0.11256426860021061
epiforecasts-EpiExpert,inc death,FR,0.08719942168804945
epiforecasts-EpiExpert,inc case,GB,0.10890681923710839
epiforecasts-EpiExpert,inc death,GB,0.1489183429658451
epiforecasts-EpiExpert,inc case,GR,0.09783928138407016
epiforecasts-EpiExpert,inc death,GR,0.1220469100623796
epiforecasts-EpiExpert,inc case,HR,0.11451900425599977
epiforecasts-EpiExpert,inc death,HR,0.16998867181735272
epiforecasts-EpiExpert,inc case,HU,0.1351041974970596
epiforecasts-EpiExpert,inc death,HU,0.191487722186675
epiforecasts-EpiExpert,inc case,IE,0.14756850882936548
epiforecasts-EpiExpert,inc death,IE,0.06223771314548605
epiforecasts-EpiExpert,inc case,IS,0.03746384864105235
epiforecasts-EpiExpert,inc death,IS,NA
epiforecasts-EpiExpert,inc case,IT,0.11227489626959078
epiforecasts-EpiExpert,inc death,IT,0.07190604136609517
epiforecasts-EpiExpert,inc case,LI,0.128933503922517
epiforecasts-EpiExpert,inc case,LT,0.090465747050699985
